ZT	CT	LHY.1	Campo	Organ	Splice	Temperature	Light
0.5	0.226415094	0.114595495	C2	L1	AS	10	0.073333333
2.5	2.037735849	0.107991549	C2	L1	AS	19	1.166666667
2.5	2.037735849	0.04850524	C2	L1	AS	19	1.166666667
2.5	2.037735849	0.03731376	C2	L1	AS	19	1.166666667
4.5	3.849056604	0.037414728	C2	L1	AS	24	2.313333333
4.5	3.849056604	0.003000691	C2	L1	AS	24	2.313333333
4.5	3.849056604	0.010774892	C2	L1	AS	24	2.313333333
6.5	5.660377358	0.003096827	C2	L1	AS	26	2.786666667
6.5	5.660377358	0	C2	L1	AS	26	2.786666667
6.5	5.660377358	0.003749649	C2	L1	AS	26	2.786666667
8.5	7.471698113	0	C2	L1	AS	27	2.206666667
8.5	7.471698113	0	C2	L1	AS	27	2.206666667
8.5	7.471698113	0	C2	L1	AS	27	2.206666667
10.5	9.283018868	0	C2	L1	AS	26	0.866666667
10.5	9.283018868	0	C2	L1	AS	26	0.866666667
10.5	9.283018868	0	C2	L1	AS	26	0.866666667
12.5	11.09433962	0	C2	L1	AS	21	0
12.5	11.09433962	0	C2	L1	AS	21	0
12.5	11.09433962	0	C2	L1	AS	21	0
14.5	13.11627907	0	C2	L1	AS	18	0
14.5	13.11627907	0	C2	L1	AS	18	0
14.5	13.11627907	0	C2	L1	AS	18	0
16.5	15.34883721	0	C2	L1	AS	14	0
16.5	15.34883721	0	C2	L1	AS	14	0
16.5	15.34883721	0	C2	L1	AS	14	0
18.5	17.58139535	0	C2	L1	AS	14	0
18.5	17.58139535	0	C2	L1	AS	14	0
18.5	17.58139535	0	C2	L1	AS	14	0
20.5	19.81395349	0.0060364	C2	L1	AS	13	0
20.5	19.81395349	0.008035123	C2	L1	AS	13	0
20.5	19.81395349	0.004407905	C2	L1	AS	13	0
22.5	22.04651163	0.035769443	C2	L1	AS	12	0
22.5	22.04651163	0.035653873	C2	L1	AS	12	0
22.5	22.04651163	0.072313252	C2	L1	AS	12	0
24.5	24.22641509	0.104491858	C2	L1	AS	12	0.073333333
24.5	24.22641509	0.233634083	C2	L1	AS	12	0.073333333
24.5	24.22641509	0.250056016	C2	L1	AS	12	0.073333333
